id,name,tagline,type,address
867000,Swarovski Group,Homepage - Swarovski Group,4,"Switzerland, Männedorf, Alte Landstrasse, 411"
867000,Swarovski Group,Homepage - Swarovski Group,4,"Switzerland, Männedorf, Alte Landstrasse, 411"
